Time,Links,Qiymetler,Valyuta,Yer,Məlumat,Paylaşılma vaxtı,Scrape Vaxtı,Təmirli?,Çıxarış?,Ipoteka?,Elanın_Nömrəsi,Otaq_Sayı,Sahə,Mərtəbə_raw,Mərtəbə,BinadaMaxMərtəbə,AZN/m²
2023-03-24 00:00:00,https://bina.az/items/3295327,245000.0,AZN,Nərimanov r.,"3 otaqlı
120 m²
16/17 mərtəbə","Bakı, 24 mart 2023",16/04/2023 23:25,Təmirli,Çıxarış var,İpoteka var,3295327,3,120.0,16/17,16.0,17.0,2041.6666666666667
2023-03-24 00:00:00,https://bina.az/items/3297639,280000.0,AZN,Nərimanov r.,"3 otaqlı
157 m²
10/19 mərtəbə","Bakı, 24 mart 2023",16/04/2023 23:25,Təmirli,Çıxarış var,İpoteka yoxdur,3297639,3,157.0,10/19,10.0,19.0,1783.43949044586
2023-03-24 00:00:00,https://bina.az/items/3299478,281500.0,AZN,Gənclik m.,"4 otaqlı
215 m²
6/17 mərtəbə","Bakı, 24 mart 2023",16/04/2023 23:25,Təmirli deyil,Çıxarış var,İpoteka yoxdur,3299478,4,215.0,6/17,6.0,17.0,1309.3023255813953
2023-03-24 00:00:00,https://bina.az/items/3365891,138000.0,AZN,Nəriman Nərimanov m.,"2 otaqlı
62 m²
3/17 mərtəbə","Bakı, 24 mart 2023",16/04/2023 23:25,Təmirli,Çıxarış var,İpoteka var,3365891,2,62.0,3/17,3.0,17.0,2225.8064516129034
2023-03-24 00:00:00,https://bina.az/items/3365860,260000.0,AZN,Nəriman Nərimanov m.,"2 otaqlı
90 m²
13/16 mərtəbə","Bakı, 24 mart 2023",16/04/2023 23:25,Təmirli,Çıxarış yoxdur,İpoteka yoxdur,3365860,2,90.0,13/16,13.0,16.0,2888.8888888888887
2023-03-24 00:00:00,https://bina.az/items/3215873,272000.0,AZN,Nərimanov r.,"4 otaqlı
215 m²
6/18 mərtəbə","Bakı, 24 mart 2023",16/04/2023 23:25,Təmirli deyil,Çıxarış var,İpoteka yoxdur,3215873,4,215.0,6/18,6.0,18.0,1265.1162790697674
2023-03-24 00:00:00,https://bina.az/items/3217464,271500.0,AZN,Nərimanov r.,"4 otaqlı
215 m²
6/18 mərtəbə","Bakı, 24 mart 2023",16/04/2023 23:25,Təmirli deyil,Çıxarış yoxdur,İpoteka yoxdur,3217464,4,215.0,6/18,6.0,18.0,1262.7906976744189
2023-03-24 00:00:00,https://bina.az/items/3365792,275000.0,AZN,Nəriman Nərimanov m.,"3 otaqlı
140 m²
6/19 mərtəbə","Bakı, 24 mart 2023",16/04/2023 23:25,Təmirli,Çıxarış var,İpoteka var,3365792,3,140.0,6/19,6.0,19.0,1964.2857142857144
2023-03-24 00:00:00,https://bina.az/items/3358761,262000.0,AZN,Gənclik m.,"3 otaqlı
101 m²
11/14 mərtəbə","Bakı, 24 mart 2023",16/04/2023 23:25,Təmirli,Çıxarış yoxdur,İpoteka yoxdur,3358761,3,101.0,11/14,11.0,14.0,2594.059405940594
2023-03-24 00:00:00,https://bina.az/items/3356718,245000.0,AZN,Nərimanov r.,"3 otaqlı
135 m²
13/14 mərtəbə","Bakı, 24 mart 2023",16/04/2023 23:25,Təmirli,Çıxarış var,İpoteka yoxdur,3356718,3,135.0,13/14,13.0,14.0,1814.8148148148148
2023-03-24 00:00:00,https://bina.az/items/3103877,610000.0,AZN,Nərimanov r.,"5 otaqlı
300 m²
16/17 mərtəbə","Bakı, 24 mart 2023",16/04/2023 23:25,Təmirli deyil,Çıxarış var,İpoteka var,3103877,5,300.0,16/17,16.0,17.0,2033.3333333333333
2023-03-24 00:00:00,https://bina.az/items/3103109,176500.0,AZN,Nərimanov r.,"2 otaqlı
108 m²
9/17 mərtəbə","Bakı, 24 mart 2023",16/04/2023 23:25,Təmirli deyil,Çıxarış yoxdur,İpoteka yoxdur,3103109,2,108.0,9/17,9.0,17.0,1634.2592592592594
2023-03-24 00:00:00,https://bina.az/items/3206404,305000.0,AZN,28 May m.,"4 otaqlı
154 m²
11/16 mərtəbə","Bakı, 24 mart 2023",16/04/2023 23:25,Təmirli,Çıxarış var,İpoteka var,3206404,4,154.0,11/16,11.0,16.0,1980.5194805194808
