Time,Links,Qiymetler,Valyuta,Yer,Məlumat,Paylaşılma vaxtı,Scrape Vaxtı,Təmirli?,Çıxarış?,Ipoteka?,Elanın_Nömrəsi,Otaq_Sayı,Sahə,Mərtəbə_raw,Mərtəbə,BinadaMaxMərtəbə,AZN/m²
2023-03-23 00:00:00,https://bina.az/items/3364752,183000.0,AZN,Nəriman Nərimanov m.,"2 otaqlı
112.5 m²
3/17 mərtəbə","Bakı, 23 mart 2023",16/04/2023 23:26,Təmirli deyil,Çıxarış yoxdur,İpoteka yoxdur,3364752,2,112.5,3/17,3.0,17.0,1626.6666666666667
2023-03-23 00:00:00,https://bina.az/items/3364750,261999.0,AZN,Nəriman Nərimanov m.,"3 otaqlı
105 m²
11/14 mərtəbə","Bakı, 23 mart 2023",16/04/2023 23:26,Təmirli,Çıxarış yoxdur,İpoteka yoxdur,3364750,3,105.0,11/14,11.0,14.0,2495.2285714285717
2023-03-23 00:00:00,https://bina.az/items/3364738,330000.0,AZN,Gənclik m.,"4 otaqlı
185 m²
12/17 mərtəbə","Bakı, 23 mart 2023",16/04/2023 23:26,Təmirli,Çıxarış var,İpoteka yoxdur,3364738,4,185.0,12/17,12.0,17.0,1783.7837837837835
2023-03-23 00:00:00,https://bina.az/items/3364711,372000.0,AZN,Nəriman Nərimanov m.,"4 otaqlı
190 m²
13/16 mərtəbə","Bakı, 23 mart 2023",16/04/2023 23:26,Təmirli deyil,Çıxarış yoxdur,İpoteka yoxdur,3364711,4,190.0,13/16,13.0,16.0,1957.8947368421047
2023-03-23 00:00:00,https://bina.az/items/3364702,280000.0,AZN,Nəriman Nərimanov m.,"3 otaqlı
123 m²
10/19 mərtəbə","Bakı, 23 mart 2023",16/04/2023 23:26,Təmirli,Çıxarış var,İpoteka var,3364702,3,123.0,10/19,10.0,19.0,2276.4227642276423
2023-03-23 00:00:00,https://bina.az/items/3364649,145000.0,AZN,Nərimanov r.,"2 otaqlı
55 m²
4/16 mərtəbə","Bakı, 23 mart 2023",16/04/2023 23:26,Təmirli,Çıxarış yoxdur,İpoteka yoxdur,3364649,2,55.0,4/16,4.0,16.0,2636.3636363636365
2023-03-23 00:00:00,https://bina.az/items/3364630,165000.0,AZN,Gənclik m.,"3 otaqlı
72 m²
10/17 mərtəbə","Bakı, 23 mart 2023",16/04/2023 23:26,Təmirli,Çıxarış yoxdur,İpoteka yoxdur,3364630,3,72.0,10/17,10.0,17.0,2291.6666666666665
2023-03-23 00:00:00,https://bina.az/items/3176017,350000.0,AZN,Nərimanov r.,"3 otaqlı
140 m²
2/16 mərtəbə","Bakı, 23 mart 2023",16/04/2023 23:26,Təmirli,Çıxarış var,İpoteka yoxdur,3176017,3,140.0,2/16,2.0,16.0,2500.0
2023-03-23 00:00:00,https://bina.az/items/3364608,260000.0,AZN,Gənclik m.,"3 otaqlı
120 m²
3/14 mərtəbə","Bakı, 23 mart 2023",16/04/2023 23:26,Təmirli,Çıxarış var,İpoteka yoxdur,3364608,3,120.0,3/14,3.0,14.0,2166.6666666666665
2023-04-14 00:00:00,https://bina.az/items/3296328,260000.0,AZN,Gənclik m.,"3 otaqlı
114 m²
9/14 mərtəbə","Bakı, 14 aprel 2023",16/04/2023 23:26,Təmirli,Çıxarış var,İpoteka var,3296328,3,114.0,9/14,9.0,14.0,2280.7017543859647
